N,hex_id,Name,Source,Europol link,Country,Products,Category,Evidence,LEAs and institutions they work with,"People, products, information"
2,43,AML Crowd Sentinel,Research & Industry Days 2024,"RID 2024 + One of their founders, Dieter Petracs, is a former Europol official (2006 to 2016). Christopher Stringham is the other partner.",Austria,DLT-based platform to share information and scenarios in the context of anti-money laundering and terrorism financing,,,,
33,46,Chaincomply,Research & Industry Days 2025,RID 2025,Belgium,Chaincomply will showcase its innovative crypto-related enhanced due diligence solutions. ChainComply provides a crypto-related source of funds investigation tools for traditional banks' AML departments,,https://www.linkedin.com/posts/lukaszlukaszewski_europol-industryandresearchdays-lawenforcement-activity-7287099578623930369-6AYA?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
38,34,Magnet Forensic,Research & Industry Days 2025,RID 2025 (+ mentioned here),Canada,"We will be discussing the integrity and authentication of digital media evidence and the challenges of generative AI. Digital media plays a critical role in modern investigations but is often compromised by tampering, deepfakes, and missing metadata. Investigators need a trusted tool to validate media and provide legally defensible evidence. This is where Magnet Verify (formerly Medex) comes in. 

Unlike any other solution, Magnet Verify uncovers critical insights beyond standard metadata and visible content. By leveraging patented technology, it can detect alterations and AI-generated media, validate media authenticity, and trace the source of images and videos—ensuring investigators can trust their evidence. Here’s how Magnet Verify supports investigators: 

    Streamlining CSAM investigations: Identify first-generation CSAM and rule out synthetic files. 
    Supporting legal proceedings: Provide attorneys and prosecutors with validated, court-admissible media evidence. 
    Authenticating citizen-submitted video: Confirm the authenticity of videos submitted via portals or social media to ensure actionable evidence. ",,Folder,,"Forensics tools to extract data from cell phone, and classifiers (including by Thorn). Was used by Russian law enforcement before sanctions. Is considered as an alternative to Cellebrite. From Forbes: Waterloo, Canada-based Magnet Forensics also secured its biggest federal contract to date in August, when ICE spent $5 million on licenses for Graykey, an Android and iPhone hacking tool. Magnet acquired the Graykey technology when it bought out Grayshift, an Atlanta startup cofounded by a former Apple employee in 2016, as first revealed by Forbes. Under the last Trump administration, ICE spent just over $1 million on Graykey tech. Later in August, ICE spent another $3 million on Magnet software, which helps investigators acquire and analyze data from smartphones and computers. Magnet hadn’t responded to a request for comment at the time of publication. OCCRP article on Magnet tools sold to Myanmar (pre-coup). They use as well Cellebrite tools."
23,2,DarkOwl,Research & Industry Days 2025,RID 2025,Colorado (USA),"DarkOwl is a Denver-based company that provides the world’s largest index of darknet content and the tools to efficiently find leaked or otherwise compromised sensitive data. We shorten the timeframe to detection of compromised data on the darknet, empowering organizations to swiftly detect security gaps and mitigate damage prior to misuse of their data. Lindsey Whyte, their co-founder, presented at RID 2025. ",,https://www.linkedin.com/posts/one-world-labs_makingeuropesafer-europol25-activity-7289960406477864960-w7ka?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
14,40,European University Cyprus,Research & Industry Days 2024,RID 2024,Cyprus,"Leading the Lawgame Horizon 2020 project, along with the Greek think tank of the Ministry of social protection: Efstathios ""Stathis"" Kassios was at the conference where he presented this project: https://lawgame-project.eu/overview/",,https://www.facebook.com/photo?fbid=702715412006328&set=pcb.702715592006310,,
21,38,Phonexia,Research & Industry Days 2024,RID 2024,Czechia,"Voice biometric engine ""Voice Inspector"" and other speech recognition tools. The Czech company says that the software can identify individuals from just three seconds of conversational speech and offers voice comparison accuracy regardless of language or spoken words. The new software offering meets the international standard for court admissibility, aligning with guidelines from the European Network of Forensic Science Institutes (ENFSI), according to the announcement.",,Folder,,"Partner in EU Horizon 2020 research project Roxanne, along with Interpol and EU law enforcement bodies. Partner in Tensor, another Horizon project. "
28,37,Eyedea Recognition Ltd,Research & Industry Days 2025,"According to Thales, it already has a contract with Europol. According to this 2017 paper, its Eyedentity tool (a FRT), was used by Europol. ",Czechia,"Eyedea Recognition, a spin-off company of the Czech Technical University founded by researchers from the Department of Cybernetics. AI-powered traffic and vehicle image analysis showcased at RID 2025. But older relations: Eyedentity used by Europol since 2016",,https://www.linkedin.com/posts/eyedea-recognition-ltd%2E_%F0%9D%90%84%F0%9D%90%B2%F0%9D%90%9E%F0%9D%90%9D%F0%9D%90%9E%F0%9D%90%9A-%F0%9D%90%9A%F0%9D%90%AD-%F0%9D%90%84%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%A9%F0%9D%90%A8%F0%9D%90%A5-%F0%9D%90%88%F0%9D%90%A7%F0%9D%90%9D%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%AB%F0%9D%90%B2-activity-7282748239668285441-8bk7?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,"According to this Czech report by digital rights group IuRe, under its programme Digitalni Svobody: According to the statement of the Regional Police Directorate of the Ústí nad Labem Region, before using the EyeDentity software, an assessment of the impact on personal data protection was not carried out pursuant to Section 37 of Act No. 110/3019 Coll., on the processing of personal data, nor was the processing by the software consulted with the Office for Personal Data Protection pursuant to Section 38 of Act No. 110/3019 Coll., on the processing of personal data.69 The obligation to prepare a personal data impact assessment also applies to the use of the EyeDentity software, as it is probable that the processing of biometric data by the EyeDentity software could have resulted in a high risk to the rights and freedoms of natural persons.70 In connection with whether or not a given processing is subject to a personal data impact assessment, a manual has been created by the Office for Personal Data Protection.71 The said manual contains a list of ten criteria, with the processing of personal data being divided into three levels according to each criterion: critical values, significant values, low values. The classification as processing with a high risk to the rights and freedoms of data subjects, and the associated obligations, is determined according to the number of levels achieved in the individual criteria. If the level of two or more criteria reaches critical, or if one level reaches critical and at least five criteria reach significant, then a data protection impact assessment is processed. The processing by EyeDentity software reaches critical values ​​in at least three criteria according to our assessment. "
26,53,EACTDA - European Anticybercrime Technology Development Association + Byron Labs,Research & Industry Days 2025,RID 2025,"EU, Canada","""we presented the Tools4LEAs licensing scheme, promoted the usage of our tools for European public security sector fighting cybercrime and most importantly, we demoed one of our tools, VYSION-Ransomware Monitoring Tool, developed by Byron Labs"" ""During the event, Byron Labs showcased one of the Tool4LEAs tools designed for monitoring ransomware activities. 
This event also served as a valuable platform for presenting the mission and objectives of the ENSEMBLE project, raising awareness about its existence and the work it is doing in the field of cybercrime investigations.""",,,,Partner of the Horizon 2020 Ensemble project.
8,36,Anarky Labs,Research & Industry Days 2024,RID 2024,Finland,"AirHUD, augmented reality solution to drive drones for operational awereness. Used by Frontex.",,https://www.linkedin.com/posts/hannulesonen_europol-industry-and-research-days-invitation-activity-7152713201921470465-n4nM?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,"It took part in Frontex events in 2023, 2024. ",
42,35,VTT Technical Research,Research & Industry Days 2025,"RID 2025 + Partner in Horizon 2020 Infinity project, with Europol, and project Starlight",Finland,"Public research institute. We are at the forefront of research and development in strategic key areas such as communication, quantum and space technologies including e.g. 6G, data fusion and analysis, cyber security, microelectronics development and hyperspectral imaging. 
VTT’s core competence also covers material technology, solutions for arctic conditions, CBRN protection, and synthetic biology. The dual-use of cutting-edge Finnish civilian technology that VTT develops offers a significant advantage to the defence industry. Partner in the F-35 Lockeed Martin programme.",,,,"VTT is among the most active European research institutes participating in the European Union research programmes and is Finland's largest single recipient of EU R&D funding. Collaborative European programmes such as Horizon Europe, Euratom, European Defence Fund and Digital Europe form the cornerstone of VTT’s international research initiatives."
